ano,popularidade,lotacao,tipo_dia,mes,distancia_dias_anterior,genero_cluster
2024,78.0,3200.0,DIA UTIL,NOVEMBRO,499.5,0.0
2024,78.0,46572.0,FIM DE SEMANA,NOVEMBRO,0.5,0.0
2022,74.0,45000.0,FIM DE SEMANA,DEZEMBRO,-154.0,10.0
2023,74.0,90000.0,FIM DE SEMANA,AGOSTO,42.0,10.0
2024,91.0,80723.0,DIA UTIL,OUTUBRO,78.0,2.0
2024,91.0,80723.0,FIM DE SEMANA,OUTUBRO,0.2,2.0
2024,91.0,80724.0,DIA UTIL,OUTUBRO,0.6,2.0
2024,91.0,80723.0,DIA UTIL,OUTUBRO,0.2,2.0
2024,91.0,80723.0,FIM DE SEMANA,OUTUBRO,0.6,2.0
2024,91.0,80723.0,FIM DE SEMANA,OUTUBRO,0.2,2.0
2022,67.0,3200.0,FIM DE SEMANA,SETEMBRO,-26.0,0.0
2025,70.0,3200.0,DIA UTIL,SETEMBRO,5.0,3.0
2025,70.0,55000.0,DIA UTIL,SETEMBRO,46.0,3.0
2022,68.0,8000.0,DIA UTIL,MAIO,-73.66666666666667,11.0
2022,68.0,12000.0,FIM DE SEMANA,MAIO,4.0,11.0
2022,68.0,8000.0,DIA UTIL,JUNHO,-167.28571428571428,11.0
2022,68.0,8000.0,FIM DE SEMANA,JUNHO,0.1428571428571428,11.0
2022,68.0,8000.0,DIA UTIL,NOVEMBRO,21.857142857142858,11.0
2022,68.0,8000.0,FIM DE SEMANA,NOVEMBRO,0.1428571428571428,11.0
2022,68.0,8000.0,FIM DE SEMANA,NOVEMBRO,0.1428571428571428,11.0
2023,68.0,8000.0,DIA UTIL,AGOSTO,135.5,11.0
2023,68.0,8000.0,FIM DE SEMANA,AGOSTO,0.5,11.0
2023,68.0,8000.0,FIM DE SEMANA,NOVEMBRO,45.5,11.0
2023,68.0,8000.0,DIA UTIL,NOVEMBRO,1.0,11.0
2025,67.0,20000.0,DIA UTIL,NOVEMBRO,811.0,8.0
2024,66.0,4000.0,DIA UTIL,JULHO,-397.0,8.0
2024,66.0,3000.0,FIM DE SEMANA,NOVEMBRO,131.0,8.0
2025,66.0,15000.0,FIM DE SEMANA,AGOSTO,0.0,8.0
2022,64.0,8000.0,FIM DE SEMANA,MARÇO,-31.0,9.0
2022,64.0,2000.0,FIM DE SEMANA,MAIO,-399.3333333333333,9.0
2022,64.0,8000.0,DIA UTIL,NOVEMBRO,78.66666666666667,9.0
2024,64.0,8000.0,FIM DE SEMANA,JUNHO,147.25,9.0
2024,64.0,8000.0,FIM DE SEMANA,JUNHO,0.25,9.0
2025,64.0,8000.0,DIA UTIL,NOVEMBRO,167.33333333333334,9.0
2025,64.0,7500.0,FIM DE SEMANA,NOVEMBRO,0.3333333333333333,9.0
2023,71.0,50000.0,FIM DE SEMANA,DEZEMBRO,46.0,6.0
2023,66.0,3200.0,FIM DE SEMANA,DEZEMBRO,-496.0,1.0
2024,66.0,2557.894736842105,FIM DE SEMANA,DEZEMBRO,364.0,1.0
2025,66.0,2700.0,FIM DE SEMANA,AGOSTO,238.0,1.0
2025,63.0,40000.0,FIM DE SEMANA,ABRIL,-0.3333333333333333,10.0
2022,83.0,1000.0,DIA UTIL,NOVEMBRO,499.5,Outros
2023,80.0,25000.0,FIM DE SEMANA,MAIO,-1.0,3.0
2023,80.0,3200.0,DIA UTIL,MAIO,-89.0,3.0
2025,80.0,8800.0,FIM DE SEMANA,NOVEMBRO,229.25,3.0
2023,63.0,4000.0,FIM DE SEMANA,MARÇO,-156.33333333333334,11.0
2023,63.0,4000.0,FIM DE SEMANA,MARÇO,0.1666666666666666,11.0
2023,63.0,4000.0,FIM DE SEMANA,MARÇO,3.333333333333333,11.0
2023,63.0,4000.0,DIA UTIL,MARÇO,0.8333333333333334,11.0
2023,63.0,4000.0,FERIADO NACIONAL,ABRIL,1.3333333333333333,11.0
2022,68.0,8000.0,FIM DE SEMANA,FEVEREIRO,-100.33333333333331,13.0
2022,68.0,8000.0,DIA UTIL,FEVEREIRO,1.6666666666666667,13.0
2022,68.0,45000.0,FIM DE SEMANA,DEZEMBRO,98.66666666666669,13.0
2023,68.0,8000.0,DIA UTIL,JUNHO,-198.0,13.0
2023,68.0,8000.0,FIM DE SEMANA,JUNHO,0.25,13.0
2024,68.0,47500.0,DIA UTIL,JUNHO,188.33333333333331,13.0
2025,68.0,45000.0,FIM DE SEMANA,AGOSTO,211.0,13.0
2025,68.0,8000.0,DIA UTIL,NOVEMBRO,293.6666666666667,13.0
2025,68.0,8000.0,FIM DE SEMANA,NOVEMBRO,0.3333333333333333,13.0
2024,88.0,49937.0,FIM DE SEMANA,DEZEMBRO,68.0,2.0
2024,88.0,49937.0,FIM DE SEMANA,DEZEMBRO,0.25,2.0
2023,85.0,3900.0,DIA UTIL,MARÇO,499.5,Outros
2022,61.0,34000.0,FIM DE SEMANA,JUNHO,-232.0,8.0
2023,61.0,20000.0,FIM DE SEMANA,FEVEREIRO,77.0,8.0
2023,61.0,17000.0,FERIADO NACIONAL,JUNHO,-231.0,8.0
2023,61.0,50000.0,FIM DE SEMANA,JUNHO,2.0,8.0
2024,61.0,20000.0,FERIADO MUNICIPAL,JANEIRO,177.5,8.0
2024,61.0,7000.0,DIA UTIL,ABRIL,304.0,8.0
2025,61.0,8000.0,FIM DE SEMANA,SETEMBRO,107.2,8.0
2023,66.0,3200.0,DIA UTIL,JULHO,-420.0,Outros
2023,89.0,73275.0,DIA UTIL,MARÇO,-136.75,6.0
2023,89.0,73275.0,FIM DE SEMANA,MARÇO,0.25,6.0
2023,89.0,73275.0,DIA UTIL,MARÇO,0.5,6.0
2023,89.0,73276.0,DIA UTIL,MARÇO,0.25,6.0
2023,89.0,73275.0,DIA UTIL,MARÇO,0.75,6.0
2023,89.0,73275.0,FIM DE SEMANA,MARÇO,0.25,6.0
2022,61.0,3200.0,FIM DE SEMANA,ABRIL,-265.5,9.0
2022,61.0,3200.0,FIM DE SEMANA,MAIO,7.5,9.0
2022,61.0,6400.0,FIM DE SEMANA,SETEMBRO,-546.5,9.0
2024,61.0,3200.0,FIM DE SEMANA,JULHO,398.5,9.0
2025,61.0,7000.0,DIA UTIL,AGOSTO,356.6666666666667,9.0
2025,73.0,4000.0,DIA UTIL,NOVEMBRO,219.6,3.0
2022,63.0,7000.0,DIA UTIL,DEZEMBRO,-195.2,13.0
2023,63.0,7000.0,FIM DE SEMANA,MAIO,28.8,13.0
2023,63.0,7000.0,DIA UTIL,MAIO,1.0,13.0
2025,63.0,45000.0,FIM DE SEMANA,AGOSTO,123.66666666666669,13.0
2025,73.0,2800.0,DIA UTIL,OUTUBRO,999.0,Outros
2024,66.0,7800.0,DIA UTIL,SETEMBRO,127.5,Outros
2023,70.0,30000.0,DIA UTIL,MARÇO,0.0,Outros
2022,79.0,8000.0,DIA UTIL,AGOSTO,-184.0,6.0
2022,79.0,8000.0,DIA UTIL,AGOSTO,0.5,6.0
2022,69.0,10000.0,FIM DE SEMANA,JANEIRO,-94.5,12.0
2022,69.0,3000.0,FIM DE SEMANA,FEVEREIRO,7.2,12.0
2022,69.0,10000.0,FIM DE SEMANA,JULHO,-571.0,12.0
2023,69.0,7000.0,FIM DE SEMANA,FEVEREIRO,356.0,12.0
2022,73.0,34000.0,DIA UTIL,JUNHO,0.0,Outros
2023,64.0,4000.0,FIM DE SEMANA,NOVEMBRO,999.0,Outros
2023,70.0,7850.0,DIA UTIL,SETEMBRO,-146.66666666666666,1.0
2022,61.0,10000.0,FIM DE SEMANA,OUTUBRO,-214.33333333333331,5.0
2024,61.0,0.0,FIM DE SEMANA,OUTUBRO,72.0,3.0
2024,65.0,64319.0,FIM DE SEMANA,SETEMBRO,22.5,12.0
2022,70.0,7700.0,FIM DE SEMANA,JUNHO,-20.8,11.0
2023,70.0,7000.0,FIM DE SEMANA,MAIO,87.5,11.0
2023,70.0,4200.0,FIM DE SEMANA,DEZEMBRO,-31.0,11.0
2024,70.0,8000.0,FIM DE SEMANA,MAIO,119.0,11.0
2024,70.0,7500.0,FIM DE SEMANA,MAIO,0.3333333333333333,11.0
2022,69.0,34000.0,FIM DE SEMANA,JUNHO,83.0,9.0
2025,69.0,7700.0,DIA UTIL,NOVEMBRO,1250.0,9.0
2022,87.0,0.0,DIA UTIL,MARÇO,-75.66666666666667,12.0
2022,63.0,3100.0,FIM DE SEMANA,OUTUBRO,249.75,Outros
2022,61.0,4000.0,DIA UTIL,AGOSTO,-314.0,Outros
2024,61.0,6900.0,FIM DE SEMANA,DEZEMBRO,167.4,Outros
2022,87.0,33921.0,DIA UTIL,SETEMBRO,-186.4,6.0
2025,87.0,62000.0,FIM DE SEMANA,NOVEMBRO,232.8,6.0
2023,65.0,20000.0,FIM DE SEMANA,FEVEREIRO,-317.0,8.0
2022,63.0,42000.0,FIM DE SEMANA,JUNHO,-1199.0,3.0
2023,60.0,8000.0,DIA UTIL,MAIO,-55.0,10.0
2023,60.0,10000.0,DIA UTIL,SETEMBRO,-31.666666666666668,10.0
2024,60.0,4000.0,DIA UTIL,MAIO,63.0,10.0
2022,70.0,45000.0,FIM DE SEMANA,DEZEMBRO,-183.33333333333331,13.0
2023,62.0,8000.0,DIA UTIL,JANEIRO,100.0,9.0
2023,62.0,7000.0,DIA UTIL,FEVEREIRO,7.0,9.0
2023,62.0,8000.0,FIM DE SEMANA,FEVEREIRO,0.6666666666666666,9.0
2024,72.0,7000.0,FIM DE SEMANA,SETEMBRO,-0.25,Outros
2024,72.0,44234.0,FIM DE SEMANA,SETEMBRO,249.75,Outros
2023,68.0,12000.0,FIM DE SEMANA,JANEIRO,999.0,Outros
2024,68.0,8000.0,DIA UTIL,NOVEMBRO,218.33333333333331,Outros
2023,76.0,40000.0,FIM DE SEMANA,OUTUBRO,199.8,Outros
2023,61.0,7200.0,DIA UTIL,ABRIL,-192.0,8.0
2022,76.0,10000.0,FIM DE SEMANA,JANEIRO,-434.5,1.0
2024,76.0,21188.0,FIM DE SEMANA,JUNHO,109.4,1.0
2025,76.0,48000.0,FIM DE SEMANA,OUTUBRO,1372.0,1.0
2022,78.0,34000.0,FIM DE SEMANA,JUNHO,-1176.0,9.0
2023,78.0,40000.0,FIM DE SEMANA,MAIO,161.0,9.0
2023,64.0,2639.0666666666666,DIA UTIL,NOVEMBRO,-548.0,3.0
2022,64.0,4000.0,FIM DE SEMANA,DEZEMBRO,999.0,Outros
2022,60.0,2900.0,DIA UTIL,JUNHO,-67.0,9.0
2023,60.0,2839.1304347826085,FIM DE SEMANA,SETEMBRO,224.5,9.0
2025,73.0,7500.0,FIM DE SEMANA,MAIO,249.75,Outros
2024,69.0,4000.0,DIA UTIL,NOVEMBRO,199.8,Outros
2025,60.0,2800.0,FIM DE SEMANA,MARÇO,186.66666666666663,14.0
2023,74.0,8000.0,DIA UTIL,SETEMBRO,124.5,Outros
2023,74.0,8000.0,DIA UTIL,SETEMBRO,0.25,Outros
2024,61.0,16406.0,FIM DE SEMANA,MAIO,199.8,Outros
2025,76.0,8000.0,DIA UTIL,MAIO,-40.5,3.0
2023,65.0,7700.0,DIA UTIL,SETEMBRO,90.75,11.0
2023,65.0,7900.0,DIA UTIL,SETEMBRO,0.25,11.0
2023,65.0,7500.0,FIM DE SEMANA,SETEMBRO,0.25,11.0
2025,65.0,40000.0,DIA UTIL,ABRIL,95.75,11.0
2025,65.0,40000.0,FIM DE SEMANA,ABRIL,0.25,11.0
2025,65.0,45382.0,DIA UTIL,ABRIL,3.25,11.0
