nome,generos,popularidade,seguidores,imagem,genero_cluster
YO YO HONEY SINGH,BOLLYWOOD,78,36908340,https://i.scdn.co/image/ab6761610000e5ebbc7e4fffd515b47ff1ebbc1f,2.0
DILJIT DOSANJH,BHANGRA,77,36847151,https://i.scdn.co/image/ab6761610000e5ebfc043bea91ac91c222d235c9,2.0
CAMILA CABELLO,POP,79,35664207,https://i.scdn.co/image/ab6761610000e5eb76470faf6330235edbcb90a9,6.0
GUNS N' ROSES,ROCK,81,35428207,https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c,14.0
DOJA CAT,RAP,87,34976945,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101,12.0
MARSHMELLO,EDM,81,34516532,https://i.scdn.co/image/ab6761610000e5eb3b2498dc8a8c6eceed0a2db3,Outros
NICKI MINAJ,RAP,85,34362969,https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd,12.0
HARRY STYLES,POP,81,34210950,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,6.0
SZA,R&B,88,33352641,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,2.0
SHREYA GHOSHAL,BOLLYWOOD,85,33165983,https://i.scdn.co/image/ab6761610000e5ebe7ce89a9f5d11e0ba26677eb,2.0
AC/DC,ROCK,82,32470770,https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37,14.0
METALLICA,METAL,83,32388906,https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44,Outros
ARCTIC MONKEYS,INDIE,86,32297649,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f,Outros
LINKIN PARK,NU METAL,89,32062825,https://i.scdn.co/image/ab6761610000e5eb527d95dabbe8b8b527e8136f,4.0
RAUW ALEJANDRO,REGGAETON,90,31366975,https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa,Outros
KANYE WEST,RAP,91,31224907,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,12.0
THE BEATLES,CLASSIC ROCK,84,30823347,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,2.0
BADSHAH,BOLLYWOOD,75,30796471,https://i.scdn.co/image/ab6761610000e5eb7b386b1320742bd6686854e7,2.0
SIA,POP,84,30654431,https://i.scdn.co/image/ab6761610000e5eb91c19888fe2fa3d5066199d1,6.0
HENRIQUE & JULIANO,SERTANEJO,86,30383873,https://i.scdn.co/image/ab6761610000e5eb30f0dc81183daaee971c2601,10.0
RAHAT FATEH ALI KHAN,SUFI,76,28804197,https://i.scdn.co/image/ab6761610000e5ebac45eaf028dc58810df0f382,2.0
JUNIOR H,CORRIDOS TUMBADOS,89,28626110,https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c,2.0
CHRIS BROWN,R&B,88,28587137,https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728,2.0
DEMI LOVATO,POP,79,27284586,https://i.scdn.co/image/ab6761610000e5eb42d7061876b87861d7c8f3fb,6.0
DAVID GUETTA,EDM,88,27222177,https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f,Outros
J. COLE,RAP,83,27180330,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc,12.0
SABRINA CARPENTER,POP,92,27074990,https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455,6.0
ROMEO SANTOS,BACHATA,83,26755507,https://i.scdn.co/image/ab6761610000e5eb6d8b48abede0f9e433aa6e49,2.0
PAULO LONDRA,ARGENTINE TRAP,76,26731274,https://i.scdn.co/image/ab6761610000e5eb3deda947e22df7dd3c8fe2c2,2.0
MILEY CYRUS,POP,82,26650518,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,6.0
DARSHAN RAVAL,GUJARATI GARBA,73,26550990,https://i.scdn.co/image/ab6761610000e5ebe971c19e2c773085fe2e4c32,2.0
SAM SMITH,SOFT POP,82,26375062,https://i.scdn.co/image/ab6761610000e5eb3262e01b79152c4f8007f3ac,Outros
CARDI B,POP,81,26024497,https://i.scdn.co/image/ab6761610000e5eba23286f24edd4a7dbdc6311d,6.0
TWENTY ONE PILOTS,ROCK,84,25816700,https://i.scdn.co/image/ab6761610000e5eb61a7ea26d33ded218cd1e59d,14.0
CHARLIE PUTH,SOFT POP,81,25413684,https://i.scdn.co/image/ab6761610000e5eb6721f541fb123145d4cb3ace,Outros
TYLER THE CREATOR,HIP HOP,87,24684277,https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb,Outros
LATA MANGESHKAR,GHAZAL,78,24580653,https://i.scdn.co/image/ab6761610000e5eba0199b159c0c5a9f62333d32,2.0
SEBASTIAN YATRA,COLOMBIAN POP,78,24387039,https://i.scdn.co/image/ab6761610000e5ebac1d47a290d9c451e4ba3b06,2.0
PESO PLUMA,CORRIDO,87,24275010,https://i.scdn.co/image/ab6761610000e5ebe5283f5b671cf618b82a2696,2.0
JORGE & MATEUS,SERTANEJO,81,24190447,https://i.scdn.co/image/ab6761610000e5ebcdef7b197f1add89019d6ad4,10.0
ZAYN,POP,78,24176265,https://i.scdn.co/image/ab6761610000e5eb7a1fba1bb3618ef71355f82a,6.0
21 SAVAGE,HIP HOP,85,23995614,https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2,Outros
NIRVANA,GRUNGE,82,23573131,https://i.scdn.co/image/84282c28d851a700132356381fcfbadc67ff498b,Outros
