data,ano,nome_local,nome,Categoria_Local,Tipo_Espaco,Latitude,Longitude,generos,popularidade,seguidores,festival,lotacao,setor,preco,preco_medio,Categoria_Setor,dia_semana,tipo_dia,descricao_clima,mes,lotacao_pct,arrecadacao_estimada,distancia_dias_anterior
2023-03-24,2023,AUTODROMO DE INTERLAGOS,BILLIE EILISH,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,POP,92.0,119521349.0,LOLLAPALOOZA,103350.0,Lolla Lounge,2250.0,1706.6666666666667,LUXO,SEXTA-FEIRA,DIA UTIL,CHUVISCO LEVE,MARÇO,1.0335,232537500.0,0.0
2023-03-24,2023,AUTODROMO DE INTERLAGOS,BILLIE EILISH,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,POP,92.0,119521349.0,LOLLAPALOOZA,103350.0,Lolla Confort,1770.0,1706.6666666666667,VIP,SEXTA-FEIRA,DIA UTIL,CHUVISCO LEVE,MARÇO,1.0335,182929500.0,0.0
2023-10-10,2023,ALLIANZ PARQUE,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,POP,95.0,113983998.0,False,48000.0,Pista Premium,750.0,620.0,VIP,TERCA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,1.0666666666666667,36000000.0,200.0
2023-10-10,2023,ALLIANZ PARQUE,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,POP,95.0,113983998.0,False,48000.0,Cadeira Inferior,650.0,620.0,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,1.0666666666666667,31200000.0,0.0
2023-10-10,2023,ALLIANZ PARQUE,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,POP,95.0,113983998.0,False,48000.0,Cadeira Superior,460.0,620.0,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,1.0666666666666667,22080000.0,0.0
2023-10-11,2023,ALLIANZ PARQUE,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,POP,95.0,113983998.0,False,48000.0,Pista Premium,750.0,620.0,VIP,QUARTA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,1.0666666666666667,36000000.0,1.0
2023-10-11,2023,ALLIANZ PARQUE,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,POP,95.0,113983998.0,False,48000.0,Cadeira Inferior,650.0,620.0,INTERMEDIARIO,QUARTA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,1.0666666666666667,31200000.0,0.0
2023-10-11,2023,ALLIANZ PARQUE,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,POP,95.0,113983998.0,False,48000.0,Cadeira Superior,460.0,620.0,INTERMEDIARIO,QUARTA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,1.0666666666666667,22080000.0,0.0
2024-09-07,2024,MORUMBIS,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,POP,95.0,113983998.0,False,64319.0,Pista Premium,700.0,710.0,VIP,SABADO,FIM DE SEMANA,NUBLADO,SETEMBRO,0.9599850746268657,45023300.0,332.0
2024-09-07,2024,MORUMBIS,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,POP,95.0,113983998.0,False,64319.0,Cadeira Inferior,800.0,710.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,NUBLADO,SETEMBRO,0.9599850746268657,51455200.0,0.0
2024-09-07,2024,MORUMBIS,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,POP,95.0,113983998.0,False,64319.0,Cadeira Superior,850.0,710.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,NUBLADO,SETEMBRO,0.9599850746268657,54671150.0,0.0
2024-09-07,2024,MORUMBIS,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,POP,95.0,113983998.0,False,64319.0,Arquibancada,490.0,710.0,COMUM,SABADO,FIM DE SEMANA,NUBLADO,SETEMBRO,0.9599850746268657,31516310.0,0.0
2023-09-03,2023,AUTODROMO DE INTERLAGOS,BRUNO MARS,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,R&B,91.0,76055599.0,THE TOWN,100000.0,Pista,815.0,815.0,COMUM,DOMINGO,FIM DE SEMANA,CHUVISCO INTENSO,SETEMBRO,1.0,81500000.0,999.0
2023-09-10,2023,AUTODROMO DE INTERLAGOS,BRUNO MARS,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,R&B,91.0,76055599.0,THE TOWN,100000.0,Pista,815.0,815.0,COMUM,DOMINGO,FIM DE SEMANA,NUBLADO,SETEMBRO,1.0,81500000.0,7.0
2024-10-04,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Pista,650.0,802.0,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,1.204820895522388,52469950.0,390.0
2024-10-04,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Pista Premium,1250.0,802.0,VIP,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,1.204820895522388,100903750.0,0.0
2024-10-04,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Cadeira Inferior,780.0,802.0,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,1.204820895522388,62963940.0,0.0
2024-10-04,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Cadeira Superior,860.0,802.0,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,1.204820895522388,69421780.0,0.0
2024-10-04,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Arquibancada,470.0,802.0,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,1.204820895522388,37939810.0,0.0
2024-10-05,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Pista,650.0,802.0,COMUM,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388,52469950.0,1.0
2024-10-05,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Pista Premium,1250.0,802.0,VIP,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388,100903750.0,0.0
2024-10-05,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Cadeira Inferior,780.0,802.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388,62963940.0,0.0
2024-10-05,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Cadeira Superior,860.0,802.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388,69421780.0,0.0
2024-10-05,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Arquibancada,470.0,802.0,COMUM,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388,37939810.0,0.0
2024-10-08,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80724.0,Pista,650.0,802.0,COMUM,TERCA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,1.2048358208955223,52470600.0,3.0
