,artista,data,ano,nome_local,nome,Capacidade,Categoria_Local,Tipo_Espaco,Latitude,Longitude,id_spotify,generos,popularidade,seguidores,imagem,fonte,festival,headliners,lotacao,setor,preco,preco_medio,nome_setores,Setor_id,Nome_Setor,Categoria_Setor,dia_semana,tipo_dia,descricao_clima,mes,lotacao_pct
10,Taylor Swift,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Pista Premium,1050.0,632.0,PISTA PREMIUM,S002,PISTA PREMIUM,VIP,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,1.1111111111111112
11,Taylor Swift,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Inferior,750.0,632.0,CADEIRA INFERIOR,S004,CADEIRA INFERIOR,INTERMEDIARIO,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,1.1111111111111112
12,Taylor Swift,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Inferior Visão Parcial,480.0,632.0,CADEIRA INFERIOR VISAO PARCIAL,S005,CADEIRA INFERIOR VISAO PARCIAL,COMUM,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,1.1111111111111112
13,Taylor Swift,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Superior,500.0,632.0,CADEIRA SUPERIOR,S006,CADEIRA SUPERIOR,INTERMEDIARIO,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,1.1111111111111112
14,Taylor Swift,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Superior Visão Parcial,380.0,632.0,CADEIRA SUPERIOR VISAO PARCIAL,S007,CADEIRA SUPERIOR VISAO PARCIAL,COMUM,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,1.1111111111111112
15,Billie Eilish,2023-03-24,2023,AUTODROMO DE INTERLAGOS,BILLIE EILISH,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,6qqNVTkY8uBg9cP3Jd7DAH,POP,92.0,119521349.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,GENRE_1,LOLLAPALOOZA,"BILLIE EILISH, LIL NAS X",103350.0,Lolla Pista,1100.0,1706.6666666666667,LOLLA PISTA,S014,LOLLA PISTA,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVISCO LEVE,MARÇO,1.0335
16,Billie Eilish,2023-03-24,2023,AUTODROMO DE INTERLAGOS,BILLIE EILISH,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,6qqNVTkY8uBg9cP3Jd7DAH,POP,92.0,119521349.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,GENRE_1,LOLLAPALOOZA,"BILLIE EILISH, LIL NAS X",103350.0,Lolla Lounge,2250.0,1706.6666666666667,LOLLA LOUNGE,S015,LOLLA LOUNGE,LUXO,SEXTA-FEIRA,DIA UTIL,CHUVISCO LEVE,MARÇO,1.0335
17,Billie Eilish,2023-03-24,2023,AUTODROMO DE INTERLAGOS,BILLIE EILISH,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,6qqNVTkY8uBg9cP3Jd7DAH,POP,92.0,119521349.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,GENRE_1,LOLLAPALOOZA,"BILLIE EILISH, LIL NAS X",103350.0,Lolla Confort,1770.0,1706.6666666666667,LOLLA CONFORT,S016,LOLLA CONFORT,VIP,SEXTA-FEIRA,DIA UTIL,CHUVISCO LEVE,MARÇO,1.0335
18,The Weeknd,2023-10-10,2023,ALLIANZ PARQUE,THE WEEKND,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False,48000.0,Pista Premium,750.0,620.0,PISTA PREMIUM,S002,PISTA PREMIUM,VIP,TERCA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,1.0666666666666667
19,The Weeknd,2023-10-10,2023,ALLIANZ PARQUE,THE WEEKND,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False,48000.0,Cadeira Inferior,650.0,620.0,CADEIRA INFERIOR,S004,CADEIRA INFERIOR,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,1.0666666666666667
