nome,id_spotify,generos,popularidade,seguidores,imagem,fonte
Iron Maiden,6mdiAmATAx73kdxrNrnlao,"heavy metal, metal, hard rock, rock",73,10420194,https://i.scdn.co/image/ab6761610000e5ebf9978ad4808f6f2723124d19,nova consulta
Ne-Yo,21E3waRsmPlU7jZsS13rcj,,82,10314451,https://i.scdn.co/image/ab6761610000e5ebca118e3822061f7b7f6bc537,nova consulta
EXO,3cjEqqelV9zb4BYE3qDQ4O,k-pop,68,10234088,https://i.scdn.co/image/ab6761610000e5ebaf3c4b988a6fef40843cdc83,nova consulta
Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,"grunge, rock, post-grunge",76,9980029,https://i.scdn.co/image/ab6761610000e5ebe431fb8ba17cdee73e4ce08a,nova consulta
aespa,6YVMFz59CuY7ngCxTxjpxE,k-pop,78,9913150,https://i.scdn.co/image/ab6761610000e5eb18d4cb767d2dfe5f4b28ba07,nova consulta
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,,77,9879276,https://i.scdn.co/image/ab6761610000e5ebead1540fa76796266fadba33,nova consulta
Korn,3RNrq3jvMZxD9ZyoOZbQOD,"nu metal, metal, rap metal, alternative metal",77,9815507,https://i.scdn.co/image/ab6761610000e5eb29af2ffb6f4ddd6324f878bc,nova consulta
Jin,5vV3bFXnN6D6N3Nj4xRvaV,k-pop,80,9797578,https://i.scdn.co/image/ab6761610000e5eb88d8bdd33e8395f94af933b7,nova consulta
Racionais MC's,29CQLw9uLWsl8Qkz9holfr,"brazilian hip hop, rap, boom bap",71,9693334,https://i.scdn.co/image/ab6761610000e5ebc5e924dc29f1dbe7eda0bba8,nova consulta
Red Velvet,1z4g3DjTBBZKhvAroFlhOM,k-pop,68,9629204,https://i.scdn.co/image/ab6761610000e5eb02a562ea6b1dc718394010ac,nova consulta
Bee Gees,1LZEQNv7sE11VDY3SdxQeN,disco,77,9421696,https://i.scdn.co/image/1d5a05673975ba0c378cd280344e000b0b865620,nova consulta
Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,"brazilian rock, mpb, brazilian pop",75,9248817,https://i.scdn.co/image/ab6761610000e5eb67bc48f32d1cc16497865361,nova consulta
ITZY,2KC9Qb60EaY0kW4eH68vr3,k-pop,69,8949833,https://i.scdn.co/image/ab6761610000e5eb81c00b4e062603d8159b1ad8,nova consulta
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,classic rock,79,8923021,https://i.scdn.co/image/ab6761610000e5eb4bdaa8c5e65b64f50549c393,nova consulta
Scorpions,27T030eWyCQRmDyuvr1kxY,"hard rock, glam metal, rock",75,8673796,https://i.scdn.co/image/ab6761610000e5eb7440170c0628c2945da819c3,nova consulta
