ano,Categoria_Local,Tipo_Espaco,generos,popularidade,seguidores,lotacao,preco_medio,dia_semana,tipo_dia,mes,distancia_dias_anterior,genero_cluster
2025,ARENAS E ESTADIOS,ESTADIO MULTIUSO,OPERA,71.0,3217698.0,24000.0,3423.3333333333335,SABADO,FIM DE SEMANA,NOVEMBRO,0.3333333333333333,Outros
2022,MEDIAS CASAS,CENTRO DE EVENTOS,BRAZILIAN POP,79.0,13259230.0,3000.0,390.0,TERCA-FEIRA,FERIADO NACIONAL,MARÇO,-695.0,1.0
2022,ARENAS E ESTADIOS,ESTADIO MULTIUSO,BRAZILIAN POP,79.0,13259230.0,50000.0,160.0,SEXTA-FEIRA,DIA UTIL,AGOSTO,-93.0,1.0
2023,MEDIAS CASAS,CENTRO DE EVENTOS,BRAZILIAN POP,79.0,13259230.0,7000.0,280.0,TERCA-FEIRA,FERIADO NACIONAL,FEVEREIRO,178.5,1.0
2024,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,BRAZILIAN POP,79.0,13259230.0,20000.0,480.0,QUINTA-FEIRA,FERIADO MUNICIPAL,JANEIRO,499.5,1.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,BRAZILIAN POP,79.0,13259230.0,25000.0,298.0,SEXTA-FEIRA,DIA UTIL,SETEMBRO,749.0,1.0
2022,MEDIAS CASAS,CASA DE SHOWS,REGGAE,66.0,1434392.0,7900.0,240.0,QUARTA-FEIRA,DIA UTIL,JUNHO,-725.0,0.0
2023,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,REGGAE,66.0,1434392.0,40000.0,250.0,SABADO,FIM DE SEMANA,MAIO,162.5,0.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,REGGAE,66.0,1434392.0,21188.0,464.0,DOMINGO,FIM DE SEMANA,JUNHO,-34.8,0.0
2024,MEDIAS CASAS,CASA DE SHOWS,REGGAE,66.0,1434392.0,3200.0,110.0,SABADO,FIM DE SEMANA,NOVEMBRO,126.5,0.0
2024,MEDIAS CASAS,CASA DE SHOWS,0,72.0,2625209.0,1222.0,360.0,QUINTA-FEIRA,DIA UTIL,MAIO,776.0,3.0
2024,MEDIAS CASAS,CASA DE SHOWS,0,72.0,2625209.0,1222.0,360.0,TERCA-FEIRA,DIA UTIL,OUTUBRO,152.0,3.0
2023,ARENAS E ESTADIOS,ESTADIO MULTIUSO,K-POP,75.0,5403608.0,30000.0,690.0,SABADO,FIM DE SEMANA,AGOSTO,-101.66666666666667,9.0
2022,MEDIAS CASAS,CASA DE SHOWS,POP ROCK,77.0,12048041.0,8000.0,538.5,QUARTA-FEIRA,FERIADO MUNICIPAL,SETEMBRO,249.75,Outros
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,J-ROCK,69.0,2756469.0,60000.0,1790.0,DOMINGO,FIM DE SEMANA,OUTUBRO,-0.2,Outros
2024,MEDIAS CASAS,CASA DE SHOWS,J-ROCK,69.0,2756469.0,3200.0,410.0,SEGUNDA-FEIRA,DIA UTIL,OUTUBRO,-87.0,Outros
2023,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,77.0,6749149.0,46000.0,582.5,SEXTA-FEIRA,DIA UTIL,JANEIRO,-239.75,6.0
2023,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,77.0,6749149.0,45340.0,582.5,SABADO,FIM DE SEMANA,JANEIRO,0.25,6.0
2022,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN HIP HOP,70.0,4271052.0,3200.0,123.33333333333331,SABADO,FIM DE SEMANA,MARÇO,-105.0,9.0
2022,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN HIP HOP,70.0,4271052.0,3200.0,123.33333333333331,SEXTA-FEIRA,DIA UTIL,SETEMBRO,48.75,9.0
2023,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN HIP HOP,70.0,4271052.0,7500.0,135.0,SEXTA-FEIRA,DIA UTIL,MAIO,15.666666666666666,9.0
2024,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN HIP HOP,70.0,4271052.0,8000.0,135.0,SEXTA-FEIRA,DIA UTIL,JANEIRO,86.33333333333333,9.0
2024,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN HIP HOP,70.0,4271052.0,7678.333333333333,135.0,SEXTA-FEIRA,DIA UTIL,AGOSTO,72.33333333333333,9.0
2025,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN HIP HOP,70.0,4271052.0,6500.0,212.5,SEXTA-FEIRA,DIA UTIL,OUTUBRO,142.33333333333334,9.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,METALCORE,76.0,2033264.0,60000.0,1790.0,DOMINGO,FIM DE SEMANA,OUTUBRO,35.0,0.0
2023,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,PUNK,61.0,1388613.0,50000.0,1495.0,DOMINGO,FIM DE SEMANA,DEZEMBRO,-230.5,Outros
2024,MEDIAS CASAS,CASA DE SHOWS,0,63.0,883210.0,3800.0,530.0,DOMINGO,FIM DE SEMANA,NOVEMBRO,-362.0,3.0
2025,MEDIAS CASAS,TEATRO E CASA DE ESPETACULOS,K-POP,63.0,2841768.0,7000.0,1190.0,SABADO,FIM DE SEMANA,JUNHO,126.83333333333333,9.0
