nome;data;ano;nome_local;Pista;Pista Premium;Camarote;Cadeira Inferior;Cadeira Inferior Visão Parcial;Cadeira Superior;Cadeira Superior Visão Parcial;Mesa;Cadeira;Open Bar;Arquibancada;PIT;Early Entrance;Lolla Pista;Lolla Lounge;Lolla Confort;Meet & Greet;Backstage;Mezanino ;Frontstage;VIP I;VIP II;Super Premium;Bistrô Superior;Lounge
TARCISIO DO ACORDEON;03/12/2021;2021;CENTRO DE TRADICOES NORDESTINAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VITOR FERNANDES;03/12/2021;2021;CENTRO DE TRADICOES NORDESTINAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JOAO GOMES;04/12/2021;2021;ARENA ANHEMBI;550;990;0;560;0;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEO SANTANA;04/12/2021;2021;ARENA ANHEMBI;550;990;0;560;0;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WESLEY SAFADAO;04/12/2021;2021;ARENA ANHEMBI;550;990;0;560;0;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZE NETO & CRISTIANO;04/12/2021;2021;ARENA ANHEMBI;550;990;0;560;0;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IVETE SANGALO;10/12/2021;2021;ESPACO DAS AMERICAS;260;420;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VEIGH;10/12/2021;2021;AUDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
YUNK VINO;10/12/2021;2021;AUDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HENRIQUE & JULIANO;17/12/2021;2021;ESTADIO DO CANINDE;250;560;0;250;0;100;0;0;0;0;0;0;0;0;0;0;0;1690;0;0;0;0;0;0;0
LUAN SANTANA;19/12/2021;2021;ESPACO DAS AMERICAS;0;120;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NANDO REIS;23/12/2021;2021;ESPACO DAS AMERICAS;130;220;250;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JORGE & MATEUS;08/01/2022;2022;EXPO CENTER NORTE;200;560;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PEDRO SAMPAIO;08/01/2022;2022;EXPO CENTER NORTE;200;560;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DENNIS;22/01/2022;2022;SAO PAULO EXPO;0;0;380;0;0;0;0;420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FERRUGEM;22/01/2022;2022;SAO PAULO EXPO;0;0;380;0;0;0;0;420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GUSTAVO MIOTO;22/01/2022;2022;SAO PAULO EXPO;0;0;380;0;0;0;0;420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LUISA SONZA;28/01/2022;2022;TRANSAMERICA EXPO CENTER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CALCINHA PRETA;04/02/2022;2022;CENTRO DE TRADICOES NORDESTINAS;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MARISA MONTE;04/02/2022;2022;ESPACO DAS AMERICAS;220;400;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OS BAROES DA PISADINHA;04/02/2022;2022;CENTRO DE TRADICOES NORDESTINAS;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FERRUGEM;05/02/2022;2022;ESTADIO DO CANINDE;0;0;465;645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1465;0;0;0;0
LUAN SANTANA;05/02/2022;2022;ESTADIO DO CANINDE;0;0;465;645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1465;0;0;0;0
LUDMILLA;05/02/2022;2022;ESTADIO DO CANINDE;0;0;465;645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1465;0;0;0;0
MARISA MONTE;05/02/2022;2022;ESPACO DAS AMERICAS;220;400;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GLORIA GROOVE;10/02/2022;2022;AUDIO;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MARISA MONTE;11/02/2022;2022;ESPACO DAS AMERICAS;220;400;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANITTA;12/02/2022;2022;MEMORIAL DA AMERICA LATINA;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0
ATITUDE 67;12/02/2022;2022;MEMORIAL DA AMERICA LATINA;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0
CHITAOZINHO & XORORO;12/02/2022;2022;ESPACO DAS AMERICAS;220;400;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MARISA MONTE;12/02/2022;2022;ESPACO DAS AMERICAS;220;400;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MATHEUS FERNANDES;12/02/2022;2022;MEMORIAL DA AMERICA LATINA;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0
PABLLO VITTAR;12/02/2022;2022;MEMORIAL DA AMERICA LATINA;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0
ZE RAMALHO;13/02/2022;2022;ESPACO DAS AMERICAS;160;280;320;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CHITAOZINHO & XORORO;17/02/2022;2022;ESPACO DAS AMERICAS;220;400;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZE VAQUEIRO;19/02/2022;2022;ARENA SERTANEJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SEPULTURA;20/02/2022;2022;AUDIO;120;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;0;0;0;0;0
PABLLO VITTAR;25/02/2022;2022;AUDIO;120;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;0;0;0;0;0
PEDRO SAMPAIO;26/02/2022;2022;JOCKEY CLUB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
THIAGUINHO;26/02/2022;2022;JOCKEY CLUB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZE VAQUEIRO;26/02/2022;2022;JOCKEY CLUB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DENNIS;27/02/2022;2022;JOCKEY CLUB;380;0;0;260;0;260;0;0;0;580;0;0;0;0;0;0;0;0;0;450;0;0;0;0;0
LUDMILLA;27/02/2022;2022;JOCKEY CLUB;380;0;0;260;0;260;0;0;0;580;0;0;0;0;0;0;0;0;0;450;0;0;0;0;0
ALOK;28/02/2022;2022;JOCKEY CLUB;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LUAN SANTANA;28/02/2022;2022;JOCKEY CLUB;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANITTA;01/03/2022;2022;JOCKEY CLUB;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GLORIA GROOVE;01/03/2022;2022;ESPACO DAS AMERICAS;380;0;0;260;0;260;0;0;0;580;0;0;0;0;0;0;0;0;0;450;0;0;0;0;0
JORGE & MATEUS;01/03/2022;2022;JOCKEY CLUB;160;560;1200;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LUDMILLA;01/03/2022;2022;ESPACO DAS AMERICAS;380;0;0;260;0;260;0;0;0;580;0;0;0;0;0;0;0;0;0;450;0;0;0;0;0
SKANK;11/03/2022;2022;ESPACO DAS AMERICAS;140;220;380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;290;0;0;0;0;0;0
BACO EXU DO BLUES;12/03/2022;2022;AUDIO;170;90;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OS PARALAMAS DO SUCESSO;12/03/2022;2022;TOKIO MARINE HALL;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SKANK;12/03/2022;2022;ESPACO DAS AMERICAS;140;220;380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;290;0;0;0;0;0;0
SKANK;13/03/2022;2022;ESPACO DAS AMERICAS;140;220;380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;290;0;0;0;0;0;0
JAO;18/03/2022;2022;ESPACO DAS AMERICAS;140;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JUNGLE;18/03/2022;2022;AUDIO;410;750;975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A DAY TO REMEMBER;24/03/2022;2022;AUDIO;360;574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DOJA CAT;24/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
KEHLANI;24/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
MGK;24/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
PABLLO VITTAR;24/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
070 SHAKE;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
ALAN WALKER;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
ASHNIKKO;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
CHRIS LAKE;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
DOJA CAT;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
JACK HARLOW;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
LP;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
MARINA;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
MATUE;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
MGK;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
PABLLO VITTAR;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
THE STROKES;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
THE WOMBATS;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
TURNSTILE;25/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
A DAY TO REMEMBER;26/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
A$AP ROCKY;26/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
ALESSIA CARA;26/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
ALOK;26/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
DEORRO;26/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
EMICIDA;26/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
JAO;26/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
MILEY CYRUS;26/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
REMI WOLF;26/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
TWO FEET;26/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
ALESSO;27/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
BLACK PUMAS;27/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
CAPITAL INICIAL;27/03/2022;2022;MEMORIAL DA AMERICA LATINA;160;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DJONGA;27/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
GLORIA GROOVE;27/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
IDLES;27/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
KAYTRANADA;27/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
KEHLANI;27/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
LAGUM;27/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
MARINA SENA;27/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
MARTIN GARRIX;27/03/2022;2022;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1050;2400;1840;0;0;0;0;0;0;0;0;0
OS PARALAMAS DO SUCESSO;27/03/2022;2022;MEMORIAL DA AMERICA LATINA;160;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
THE DRUMS;31/03/2022;2022;AUDIO;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LAGUM;02/04/2022;2022;AUDIO;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DILSINHO;03/04/2022;2022;EXPO BARRA FUNDA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GLORIA GROOVE;03/04/2022;2022;VALE DO ANHANGABAU;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0
LAGUM;03/04/2022;2022;AUDIO;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SORRISO MAROTO;03/04/2022;2022;EXPO BARRA FUNDA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JAO;05/04/2022;2022;ALLIANZ PARQUE;815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAROON 5;05/04/2022;2022;ALLIANZ PARQUE;815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TITAS;10/04/2022;2022;MEMORIAL DA AMERICA LATINA;400;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VITOR KLEY;10/04/2022;2022;AUDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0
MOLCHAT DOMA;11/04/2022;2022;AUDIO;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;0;0;0;0;0;0
JAO;14/04/2022;2022;ESPACO DAS AMERICAS;140;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAIARA & MARAISA;15/04/2022;2022;ESPACO DAS AMERICAS;590;650;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MARIA BETHANIA;16/04/2022;2022;ESPACO DAS AMERICAS;180;347;260;0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0
MAIARA & MARAISA;17/04/2022;2022;ESPACO DAS AMERICAS;590;650;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NANDO REIS;21/04/2022;2022;MEMORIAL DA AMERICA LATINA;340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RACIONAIS MC'S;22/04/2022;2022;ESPACO DAS AMERICAS;140;0;290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CPM 22;23/04/2022;2022;AUDIO;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0
IVETE SANGALO;23/04/2022;2022;ESPACO DAS AMERICAS;100;220;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0
MAIARA & MARAISA;28/04/2022;2022;VILLA COUNTRY;70;0;340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LULU SANTOS;29/04/2022;2022;ESPACO DAS AMERICAS;120;280;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KISS;30/04/2022;2022;ALLIANZ PARQUE;380;720;0;480;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAETANO VELOSO;06/05/2022;2022;ESPACO DAS AMERICAS;200;320;430;0;0;320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;480;0;0;0;0
CHARLOTTE DE WITTE;06/05/2022;2022;SAMBODROMO DO ANHEMBI;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;780;0;0;0;0;0;0
GLORIA GROOVE;07/05/2022;2022;EXPO CENTER NORTE;;;;;;;;;;;;;;;;;;;;;;;;;
LAGUM;07/05/2022;2022;EXPO CENTER NORTE;;;;;;;;;;;;;;;;;;;;;;;;;
PERICLES;07/05/2022;2022;EXPO CENTER NORTE;;;;;;;;;;;;;;;;;;;;;;;;;
CPM 22;08/05/2022;2022;AUDIO;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0
GRETA VAN FLEET;10/05/2022;2022;ESTADIO DO MORUMBI;420;780;0;320;0;290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
METALLICA;10/05/2022;2022;ESTADIO DO MORUMBI;420;780;0;320;0;290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SIMONE & SIMARIA;10/05/2022;2022;VILLA COUNTRY;110;400;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAETANO VELOSO;14/05/2022;2022;MEMORIAL DA AMERICA LATINA;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GILSONS;14/05/2022;2022;MEMORIAL DA AMERICA LATINA;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IZA;14/05/2022;2022;MEMORIAL DA AMERICA LATINA;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
URIAS;14/05/2022;2022;MEMORIAL DA AMERICA LATINA;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TWO DOOR CINEMA CLUB;18/05/2022;2022;AUDIO;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;350;0;0;0;0;0;0
THE KOOKS;20/05/2022;2022;ESPACO UNIMED;300;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0
JOAO GOMES;21/05/2022;2022;ARENA ANHEMBI;100;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NATTAN;21/05/2022;2022;ARENA ANHEMBI;100;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TARCISIO DO ACORDEON;21/05/2022;2022;ARENA ANHEMBI;100;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XAND AVIAO;21/05/2022;2022;ARENA ANHEMBI;100;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZE VAQUEIRO;21/05/2022;2022;ARENA ANHEMBI;100;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MASEGO;25/05/2022;2022;AUDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JAO;27/05/2022;2022;ESPACO UNIMED;140;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL INICIAL;28/05/2022;2022;ARENA ANHEMBI;230;450;805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOUIS TOMLINSON;28/05/2022;2022;ESPACO UNIMED;220;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MARCOS & BELUTTI;28/05/2022;2022;SAO PAULO EXPO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NANDO REIS;28/05/2022;2022;ARENA ANHEMBI;230;450;805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PITTY;28/05/2022;2022;ARENA ANHEMBI;230;450;805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
